sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
15,6,100,30.0,99,2221,25.932610376538037,17.071075236380008,0.7915279565378817,75.40376517857142,134.5,158.5,162.5,130.5,146.5
15,6,100,20.0,99,2221,25.932610376538037,17.071075236380008,0.7915279565378817,75.40376517857142,134.5,158.5,162.5,130.5,146.5
15,6,100,10.0,99,2221,25.932610376538037,17.071075236380008,0.7915279565378817,75.40376517857142,134.5,158.5,162.5,130.5,146.5
30,6,200,10.0,99,2206,25.880057616018902,17.23770767375052,0.7947091525691118,74.91678072072072,205.0,149.0,153.0,120.0,156.75
90,2,100,10.0,99,2147,25.94437599489671,17.398314247305745,0.7963107263384833,73.4350309560007,253.0,161.0,125.0,89.0,157.0
30,6,100,10.0,99,2206,25.886340022791522,17.224028603016304,0.7932680783758248,75.09067837837839,197.0,153.0,157.0,121.0,157.0
30,6,200,,99,2206,25.881065040800763,17.238877674524026,0.7946931696748252,74.9128373873874,207.0,151.0,155.0,118.0,157.75
30,6,200,30.0,99,2206,25.881065040800763,17.238877674524026,0.7946931696748252,74.9128373873874,207.0,151.0,155.0,118.0,157.75
30,6,200,20.0,99,2206,25.881065040800763,17.238877674524026,0.7946931696748252,74.9128373873874,207.0,151.0,155.0,118.0,157.75
30,6,100,30.0,99,2206,25.888354746202612,17.22589474161378,0.7932358973992742,75.09145225225224,203.0,155.0,159.0,123.0,160.0
30,6,100,,99,2206,25.888354746202612,17.22589474161378,0.7932358973992742,75.09145225225224,203.0,155.0,159.0,123.0,160.0
30,6,100,20.0,99,2206,25.888354746202612,17.22589474161378,0.7932358973992742,75.09145225225224,203.0,155.0,159.0,123.0,160.0
90,2,100,,99,2147,25.997910597965756,17.446247135981547,0.7954692588299058,73.43823438271605,254.5,162.5,134.5,91.0,160.625
90,2,100,30.0,99,2147,25.997910597965756,17.446247135981547,0.7954692588299058,73.43823438271605,254.5,162.5,134.5,91.0,160.625
90,2,100,20.0,99,2147,25.99791338035037,17.446266525162464,0.7954692150507556,73.43823438271605,256.0,164.0,136.0,91.0,161.75
15,1,300,10.0,99,2221,26.205086385894923,17.091340158114555,0.7890742900273902,77.05167181512192,142.5,170.5,166.5,194.5,168.5
15,1,300,30.0,99,2221,26.205086385894923,17.091340158114555,0.7890742900273902,77.05167181512192,142.5,170.5,166.5,194.5,168.5
15,1,300,20.0,99,2221,26.205086385894923,17.091340158114555,0.7890742900273902,77.05167181512192,142.5,170.5,166.5,194.5,168.5
15,1,300,,99,2221,26.205086385894923,17.091340158114555,0.7890742900273902,77.05167181512192,142.5,170.5,166.5,194.5,168.5
10,2,100,30.0,99,2226,26.1793019070185,17.006558042078467,0.7883158535396526,78.04868303571428,114.5,166.5,174.5,242.5,174.5
10,2,100,10.0,99,2226,26.1793019070185,17.006558042078467,0.7883158535396526,78.04868303571428,114.5,166.5,174.5,242.5,174.5
10,2,100,,99,2226,26.1793019070185,17.006558042078467,0.7883158535396526,78.04868303571428,114.5,166.5,174.5,242.5,174.5
10,2,100,20.0,99,2226,26.1793019070185,17.006558042078467,0.7883158535396526,78.04868303571428,114.5,166.5,174.5,242.5,174.5
15,1,400,20.0,99,2221,26.2416413964151,17.117795651553156,0.7884477220889174,77.18147702248088,150.5,178.5,170.5,199.5,174.75
15,1,400,,99,2221,26.2416413964151,17.117795651553156,0.7884477220889174,77.18147702248088,150.5,178.5,170.5,199.5,174.75
15,1,400,10.0,99,2221,26.2416413964151,17.117795651553156,0.7884477220889174,77.18147702248088,150.5,178.5,170.5,199.5,174.75
15,1,400,30.0,99,2221,26.2416413964151,17.117795651553156,0.7884477220889174,77.18147702248088,150.5,178.5,170.5,199.5,174.75
15,6,200,,99,2221,26.205418525314396,17.22362341287708,0.7882624797344479,76.14113035714284,194.5,174.5,178.5,166.5,178.5
15,6,200,20.0,99,2221,26.205418525314396,17.22362341287708,0.7882624797344479,76.14113035714284,194.5,174.5,178.5,166.5,178.5
15,6,200,10.0,99,2221,26.205418525314396,17.22362341287708,0.7882624797344479,76.14113035714284,194.5,174.5,178.5,166.5,178.5
15,6,200,30.0,99,2221,26.205418525314396,17.22362341287708,0.7882624797344479,76.14113035714284,194.5,174.5,178.5,166.5,178.5
15,1,200,10.0,99,2221,26.27931549993299,17.12431589411839,0.7878776518412223,77.32131774872451,158.5,182.5,182.5,211.5,183.75
15,1,200,,99,2221,26.27931549993299,17.12431589411839,0.7878776518412223,77.32131774872451,158.5,182.5,182.5,211.5,183.75
15,1,200,30.0,99,2221,26.27931549993299,17.12431589411839,0.7878776518412223,77.32131774872451,158.5,182.5,182.5,211.5,183.75
15,1,200,20.0,99,2221,26.27931549993299,17.12431589411839,0.7878776518412223,77.32131774872451,158.5,182.5,182.5,211.5,183.75
15,1,100,20.0,99,2221,26.283551134147608,17.122654241975944,0.787551462713673,77.51259687074833,154.5,186.5,186.5,229.5,189.25
15,1,100,10.0,99,2221,26.283551134147608,17.122654241975944,0.787551462713673,77.51259687074833,154.5,186.5,186.5,229.5,189.25
15,1,100,30.0,99,2221,26.283551134147608,17.122654241975944,0.787551462713673,77.51259687074833,154.5,186.5,186.5,229.5,189.25
15,1,100,,99,2221,26.283551134147608,17.122654241975944,0.787551462713673,77.51259687074833,154.5,186.5,186.5,229.5,189.25
15,6,400,,99,2221,26.327460756638434,17.293512055380457,0.7862857059799891,76.43302879464284,230.5,194.5,198.5,170.5,198.5
15,6,400,30.0,99,2221,26.327460756638434,17.293512055380457,0.7862857059799891,76.43302879464284,230.5,194.5,198.5,170.5,198.5
15,6,400,20.0,99,2221,26.327460756638434,17.293512055380457,0.7862857059799891,76.43302879464284,230.5,194.5,198.5,170.5,198.5
15,6,400,10.0,99,2221,26.327460756638434,17.293512055380457,0.7862857059799891,76.43302879464284,230.5,194.5,198.5,170.5,198.5
10,2,400,30.0,99,2226,26.328983980360945,17.105119407863775,0.7851093000185152,78.25174017857145,146.5,198.5,210.5,254.5,202.5
10,2,400,10.0,99,2226,26.328983980360945,17.105119407863775,0.7851093000185152,78.25174017857145,146.5,198.5,210.5,254.5,202.5
10,2,400,20.0,99,2226,26.328983980360945,17.105119407863775,0.7851093000185152,78.25174017857145,146.5,198.5,210.5,254.5,202.5
10,2,400,,99,2226,26.328983980360945,17.105119407863775,0.7851093000185152,78.25174017857145,146.5,198.5,210.5,254.5,202.5
10,1,100,10.0,99,2226,26.29465882448531,17.045620377198052,0.7839127738902864,78.42712330357143,130.5,190.5,230.5,262.5,203.5
