sliding_window,lag_price_window,n_estimators,max_depth,percentile,data_points,mse,mae,r2,worst_avg_error,mae_rank,mse_rank,r2_rank,worst_error_rank,avg_rank
10,1,100,20.0,99,2226,24.268319199589186,16.182793665768195,0.8181049049865359,69.44247142857142,166.5,154.5,194.5,97.5,153.25
10,1,100,,99,2226,24.268319199589186,16.182793665768195,0.8181049049865359,69.44247142857142,166.5,154.5,194.5,97.5,153.25
10,1,100,10.0,99,2226,24.268319199589186,16.182793665768195,0.8181049049865359,69.44247142857142,166.5,154.5,194.5,97.5,153.25
30,6,200,20.0,99,2206,24.316221110712725,16.247918653671803,0.8210248559055965,70.23966036036036,182.0,158.0,138.0,139.0,154.25
30,6,200,,99,2206,24.316221110712725,16.247918653671803,0.8210248559055965,70.23966036036036,182.0,158.0,138.0,139.0,154.25
30,6,200,30.0,99,2206,24.316221110712725,16.247918653671803,0.8210248559055965,70.23966036036036,182.0,158.0,138.0,139.0,154.25
30,6,200,10.0,99,2206,24.316404145755556,16.24837746179251,0.8210221615028513,70.23749279279279,184.0,160.0,140.0,137.0,155.25
15,1,200,20.0,99,2221,24.36885462670029,16.259760670868975,0.8216013150141792,70.04935892857142,190.5,182.5,130.5,122.5,156.5
15,1,200,10.0,99,2221,24.36885462670029,16.259760670868975,0.8216013150141792,70.04935892857142,190.5,182.5,130.5,122.5,156.5
15,1,200,,99,2221,24.36885462670029,16.259760670868975,0.8216013150141792,70.04935892857142,190.5,182.5,130.5,122.5,156.5
15,1,200,30.0,99,2221,24.36885462670029,16.259760670868975,0.8216013150141792,70.04935892857142,190.5,182.5,130.5,122.5,156.5
7,1,400,,99,2229,24.182403540882827,16.087872633467924,0.8200490263552962,70.73495223214289,133.5,126.5,150.5,218.5,157.25
7,1,400,30.0,99,2229,24.182403540882827,16.087872633467924,0.8200490263552962,70.73495223214289,133.5,126.5,150.5,218.5,157.25
7,1,400,10.0,99,2229,24.182403540882827,16.087872633467924,0.8200490263552962,70.73495223214289,133.5,126.5,150.5,218.5,157.25
7,1,400,20.0,99,2229,24.182403540882827,16.087872633467924,0.8200490263552962,70.73495223214289,133.5,126.5,150.5,218.5,157.25
7,1,100,10.0,99,2229,24.200453641550084,16.101533333333332,0.8197802900064804,70.6165857142857,142.5,138.5,158.5,198.5,159.5
7,1,100,,99,2229,24.200453641550084,16.101533333333332,0.8197802900064804,70.6165857142857,142.5,138.5,158.5,198.5,159.5
7,1,100,20.0,99,2229,24.200453641550084,16.101533333333332,0.8197802900064804,70.6165857142857,142.5,138.5,158.5,198.5,159.5
7,1,100,30.0,99,2229,24.200453641550084,16.101533333333332,0.8197802900064804,70.6165857142857,142.5,138.5,158.5,198.5,159.5
7,1,300,,99,2229,24.197669473055186,16.083848497083896,0.8198217547809236,70.80211279761907,126.5,134.5,154.5,230.5,161.5
