Datetime,MarginalES
2019-03-16 14:00:00,50.0
2019-03-17 14:00:00,30.0
2019-03-18 14:00:00,51.94
2019-03-19 14:00:00,51.53
2019-03-20 14:00:00,51.64
2019-03-21 14:00:00,54.66
2019-03-22 14:00:00,55.8
2019-03-23 14:00:00,50.0
2019-03-24 14:00:00,46.9
2019-03-25 14:00:00,47.74
2019-03-26 14:00:00,43.69
2019-03-27 14:00:00,50.55
2019-03-28 14:00:00,53.01
2019-03-29 14:00:00,53.52
2019-03-30 14:00:00,52.01
2019-03-31 14:00:00,54.02
2019-04-01 14:00:00,59.45
2019-04-02 14:00:00,59.17
2019-04-03 14:00:00,53.0
2019-04-04 14:00:00,54.52
2019-04-05 14:00:00,55.13
2019-04-06 14:00:00,44.0
2019-04-07 14:00:00,52.35
2019-04-08 14:00:00,56.0
2019-04-09 14:00:00,51.14
2019-04-10 14:00:00,54.5
2019-04-11 14:00:00,56.09
2019-04-12 14:00:00,58.58
2019-04-13 14:00:00,57.84
2019-04-14 14:00:00,55.0
2019-04-15 14:00:00,53.07
2019-04-16 14:00:00,59.07
2019-04-17 14:00:00,40.6
2019-04-18 14:00:00,57.04
2019-04-19 14:00:00,34.5
2019-04-20 14:00:00,31.57
2019-04-21 14:00:00,40.51
2019-04-22 14:00:00,57.75
2019-04-23 14:00:00,54.75
2019-04-24 14:00:00,39.5
2019-04-25 14:00:00,32.0
2019-04-26 14:00:00,54.85
2019-04-27 14:00:00,55.5
2019-04-28 14:00:00,53.5
2019-04-29 14:00:00,59.23
2019-04-30 14:00:00,59.12
2019-05-01 14:00:00,52.0
2019-05-02 14:00:00,49.42
2019-05-03 14:00:00,50.61
2019-05-04 14:00:00,50.69
2019-05-05 14:00:00,30.57
2019-05-06 14:00:00,56.1
2019-05-07 14:00:00,50.15
2019-05-08 14:00:00,38.19
2019-05-09 14:00:00,51.95
2019-05-10 14:00:00,49.02
2019-05-11 14:00:00,52.66
2019-05-12 14:00:00,39.1
2019-05-13 14:00:00,51.01
2019-05-14 14:00:00,56.46
2019-05-15 14:00:00,55.04
2019-05-16 14:00:00,54.58
2019-05-17 14:00:00,42.0
2019-05-18 14:00:00,46.0
2019-05-19 14:00:00,46.04
2019-05-20 14:00:00,55.37
2019-05-21 14:00:00,57.61
2019-05-22 14:00:00,58.55
2019-05-23 14:00:00,59.6
2019-05-24 14:00:00,50.48
2019-05-25 14:00:00,47.58
2019-05-26 14:00:00,40.0
2019-05-27 14:00:00,54.5
2019-05-28 14:00:00,51.51
2019-05-29 14:00:00,50.1
2019-05-30 14:00:00,56.02
2019-05-31 14:00:00,57.88
2019-06-01 14:00:00,56.0
